iter	Accuracy	Logloss
0	0.7389071777	0.6761304344
1	0.7427386457	0.6597442463
2	0.7458196202	0.6457839419
3	0.7420737346	0.6366722738
4	0.7441606339	0.6244092266
5	0.7433772238	0.6124797831
6	0.7407768288	0.6076266839
7	0.7414219901	0.601034196
8	0.7412179085	0.5914733547
9	0.7413364075	0.5862900258
10	0.7411323259	0.5780823953
11	0.7408097452	0.5737049272
12	0.7411323259	0.5666122302
13	0.7411323259	0.5601306504
14	0.7423897321	0.5545422462
15	0.7421856504	0.551165351
16	0.7417774872	0.5469640988
17	0.7417774872	0.543928195
18	0.7420671514	0.5410202953
19	0.7421856504	0.5361765469
20	0.7421856504	0.5329828504
21	0.7421856504	0.5307896129
22	0.7433772238	0.529012671
23	0.7435813054	0.5252405999
24	0.7437853871	0.5214774983
25	0.7451283759	0.5186718888
26	0.7446017136	0.5164846977
27	0.7443976319	0.5150987932
28	0.7446017136	0.5121575586
29	0.7448057952	0.5092481737
30	0.7452139585	0.5086850696
31	0.7451283759	0.5064845425
32	0.7453324575	0.5045347559
33	0.7476958544	0.5026407416
34	0.7489203442	0.5004728151
35	0.7481040177	0.4999504333
36	0.7476958544	0.4994539962
37	0.7481040177	0.4972630361
38	0.747781437	0.495738248
39	0.7493285075	0.4944275565
40	0.7490915094	0.4929436977
41	0.7501975002	0.4912036506
42	0.7508426615	0.4897443674
43	0.7510467431	0.4888826733
44	0.7506385799	0.4886193821
45	0.7503159992	0.4882970841
46	0.749907836	0.4873202394
47	0.7507241625	0.4858661201
48	0.7515734054	0.4854023115
49	0.7510796595	0.4846516705
50	0.7511652421	0.4844608257
51	0.7519486523	0.4828025955
52	0.7521527339	0.4823267425
53	0.7536998043	0.480761603
54	0.7544305482	0.4799771484
55	0.756741279	0.4788709868
56	0.7580842678	0.47749692
57	0.7596642546	0.4762835409
58	0.7590520097	0.475404611
59	0.7591705087	0.4753906046
60	0.7591705087	0.4747736266
61	0.7595457556	0.4745246895
62	0.7594272566	0.4744216615
63	0.7593087575	0.473639229
64	0.760006585	0.4729681824
65	0.7617906535	0.4719580852
66	0.7624028984	0.4705894868
67	0.7641540505	0.4696464859
68	0.7642725495	0.4687857429
69	0.7641869669	0.4680876392
70	0.7645622137	0.4679119931
71	0.7639499688	0.4678324839
72	0.7653785402	0.4670860318
73	0.7670111933	0.4660830017
74	0.7661948668	0.4654904593
75	0.76660303	0.464726582
76	0.7679460188	0.4637718513
77	0.7700197515	0.4627729944
78	0.7711915751	0.4621639591
79	0.7715997384	0.4620830086
80	0.7743712986	0.4610337423
81	0.7737261373	0.4606638792
82	0.7745424638	0.4605861357
83	0.7737261373	0.4599384468
84	0.7750164599	0.4594207266
85	0.7757801202	0.4582979023
86	0.7782620162	0.457379529
87	0.7782620162	0.457199381
88	0.779605005	0.4562960179
89	0.7794009233	0.4555271292
90	0.7794009233	0.4555142766
91	0.7805727469	0.4549859287
92	0.7807768285	0.4543448916
93	0.7815075725	0.4540438391
94	0.7818301531	0.4538399008
95	0.7822383164	0.4538002482
96	0.7826464796	0.4537487448
97	0.782442398	0.4532868105
98	0.7830546429	0.4529488099
99	0.7828505612	0.4529146033
100	0.7841079674	0.4523916841
101	0.7834628061	0.452318249
102	0.7826464796	0.4522987453
103	0.7826464796	0.4522530852
104	0.782442398	0.4522227724
105	0.7826464796	0.4516520542
106	0.7832916409	0.4508161019
107	0.7834101399	0.4503128207
108	0.7832060583	0.4501664431
109	0.7847202123	0.449166986
110	0.7852468746	0.4485640899
111	0.784924294	0.448502172
112	0.7852995408	0.4481990413
113	0.7861487837	0.4473883789
114	0.7861487837	0.4473199914
115	0.7863528654	0.4472936589
116	0.786438448	0.4472497952
117	0.7871691919	0.4467187894
118	0.7879855184	0.4463825147
119	0.7884265981	0.4462758134
120	0.7889532604	0.4460356835
121	0.789038843	0.4456696466
122	0.791639238	0.4446716203
123	0.791639238	0.444671577
124	0.791639238	0.4445547082
125	0.7918433196	0.4440575474
126	0.7923699819	0.4440419745
127	0.7921659002	0.4435766987
128	0.7931863084	0.4429897642
129	0.7920144848	0.4427331148
130	0.7923370655	0.442730955
131	0.7930678094	0.441980503
132	0.7930678094	0.4419804706
133	0.793153392	0.4417704187
134	0.793153392	0.4417703798
135	0.7928308113	0.441512275
136	0.7928308113	0.4414905467
137	0.7947662952	0.4401618416
138	0.7949703769	0.4401095678
139	0.7951415421	0.439620231
140	0.7955497053	0.4391671687
141	0.7954312063	0.4387928926
142	0.7959578686	0.4381607659
143	0.794904544	0.4377778083
144	0.794904544	0.4375192324
145	0.7956352879	0.4371975095
146	0.7966556961	0.4368935228
147	0.7970638594	0.4365208327
148	0.7968597777	0.4365034429
149	0.7979986849	0.4358451958
150	0.7979986849	0.4353561387
151	0.7983212655	0.4347719386
152	0.7994601727	0.4339533133
153	0.7996642543	0.4339449145
154	0.7996642543	0.4339392028
155	0.7990520094	0.4336960002
156	0.7990520094	0.4332054656
157	0.7990520094	0.4328079944
158	0.7993416737	0.4323694205
159	0.7991375921	0.4323396135
160	0.7997498369	0.431916646
161	0.7995457553	0.4316671405
162	0.7999539186	0.431253513
