iter	Passed	Remaining
0	59	59627
1	126	63146
2	196	65205
3	262	65448
4	333	66332
5	380	62965
6	400	56790
7	468	58137
8	534	58875
9	586	58055
10	654	58866
11	690	56846
12	757	57478
13	825	58137
14	900	59104
15	933	57392
16	1003	58007
17	1058	57726
18	1109	57304
19	1177	57680
20	1245	58044
21	1273	56613
22	1299	55210
23	1359	55287
24	1426	55627
25	1496	56060
26	1562	56290
27	1597	55443
28	1664	55744
29	1732	56017
30	1753	54821
31	1810	54772
32	1876	55000
33	1948	55347
34	2014	55551
35	2036	54533
36	2054	53482
37	2121	53712
38	2188	53919
39	2279	54710
40	2346	54883
41	2418	55171
42	2486	55335
43	2556	55542
44	2575	54652
45	2624	54432
46	2691	54574
47	2748	54504
48	2777	53900
49	2796	53129
50	2814	52380
51	2880	52511
52	2957	52847
53	3042	53296
54	3118	53581
55	3191	53800
56	3260	53939
57	3329	54077
58	3363	53643
59	3377	52921
60	3445	53040
61	3478	52632
62	3499	52045
63	3571	52234
64	3642	52394
65	3714	52568
66	3782	52666
67	3857	52866
68	3923	52941
69	3945	52421
70	3982	52103
71	4008	51659
72	4076	51770
73	4146	51881
74	4183	51594
75	4250	51682
76	4318	51761
77	4390	51892
78	4456	51959
79	4479	51510
80	4549	51614
81	4615	51676
82	4637	51237
83	4705	51307
84	4771	51365
85	4845	51494
86	4912	51554
87	4975	51561
88	5041	51601
89	5113	51700
90	5139	51336
91	5209	51419
92	5278	51477
93	5349	51557
94	5382	51279
95	5403	50883
96	5436	50610
97	5503	50652
98	5571	50703
99	5592	50332
100	5660	50383
101	5694	50130
102	5732	49920
103	5766	49678
104	5793	49383
105	5861	49438
106	5929	49487
107	6002	49578
108	6068	49603
109	6142	49700
110	6213	49762
111	6236	49443
112	6313	49556
113	6390	49662
114	6420	49409
115	6439	49071
116	6458	48741
117	6527	48789
118	6595	48826
119	6648	48756
120	6684	48556
121	6752	48598
122	6819	48621
123	6840	48325
124	6859	48014
125	6929	48065
126	6954	47807
127	7027	47872
128	7094	47904
129	7168	47971
130	7186	47675
131	7257	47724
132	7275	47429
133	7319	47301
134	7330	46970
135	7404	47037
136	7426	46783
137	7497	46830
138	7514	46547
139	7584	46591
140	7655	46640
141	7724	46673
142	7806	46783
143	7873	46806
144	7946	46856
145	8012	46868
146	8084	46909
147	8152	46932
148	8180	46724
149	8247	46738
150	8313	46745
151	8385	46781
152	8452	46793
153	8481	46592
